Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FR_06,Chrome 103.0.5060.134,,,2022-07-21 09:54:00,2022-07-21 10:00:31,6m - 30.915s,FAILED
,,,,,,,
Test Cases/TC_38,Chrome 103.0.5060.134,,,2022-07-21 09:54:00,2022-07-21 09:54:48,47.989s,FAILED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-07-21 09:54:00,2022-07-21 09:54:02,2.086s,PASSED
"navigateToUrl(""https://soca.ai/home"")",Chrome 103.0.5060.134,,,2022-07-21 09:54:02,2022-07-21 09:54:04,1.243s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca.ai/a_Sign In""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:04,2022-07-21 09:54:06,1.874s,PASSED
"setText(findTestObject(""Object Repository/tc38/Page_soca-dashboarduser/input_Email_form-control""), ""kp3skp.dev@gmail.com"")",Chrome 103.0.5060.134,,,2022-07-21 09:54:06,2022-07-21 09:54:06,0.726s,PASSED
"setEncryptedText(findTestObject(""Object Repository/tc38/Page_soca-dashboarduser/input_Password_form-control mb-2""), ""RigbBhfdqODKcAsiUrg+1Q=="")",Chrome 103.0.5060.134,,,2022-07-21 09:54:06,2022-07-21 09:54:07,0.428s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-dashboarduser/button_Sign In""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:07,2022-07-21 09:54:07,0.360s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-dashboarduser/button_OK""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:07,2022-07-21 09:54:08,0.809s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-dashboarduser/a_Projects""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:08,2022-07-21 09:54:10,2.176s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-dashboarduser/button_Dashboard""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:10,2022-07-21 09:54:11,0.929s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-ai-proctoring-dashboard/span_Schedule""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:11,2022-07-21 09:54:13,1.779s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tc38/Page_soca-ai-proctoring-dashboard/select_--Select Event Name--Ujiantesuas""), ""62d75991aed847c7e3028120"", true)",Chrome 103.0.5060.134,,,2022-07-21 09:54:13,2022-07-21 09:54:15,1.783s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tc38/Page_soca-ai-proctoring-dashboard/select_Expired TimeDuration""), ""time"", true)",Chrome 103.0.5060.134,,,2022-07-21 09:54:15,2022-07-21 09:54:16,0.944s,PASSED
"setText(findTestObject(""Object Repository/tc38/Page_soca-ai-proctoring-dashboard/input_Schedule Name_description""), ""Sesi pagi"")",Chrome 103.0.5060.134,,,2022-07-21 09:54:16,2022-07-21 09:54:16,0.758s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-ai-proctoring-dashboard/label_No date selected""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:16,2022-07-21 09:54:17,0.400s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-ai-proctoring-dashboard/span_21""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:17,2022-07-21 09:54:48,31.364s,FAILED
,,,,,,,
Test Cases/TC_39,Chrome 103.0.5060.134,,,2022-07-21 09:54:48,2022-07-21 09:55:35,46.520s,FAILED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-07-21 09:54:48,2022-07-21 09:54:50,1.936s,PASSED
"navigateToUrl(""https://soca.ai/home"")",Chrome 103.0.5060.134,,,2022-07-21 09:54:50,2022-07-21 09:54:51,0.966s,PASSED
"click(findTestObject(""Object Repository/tc39/Page_soca.ai/a_Sign In""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:51,2022-07-21 09:54:53,1.647s,PASSED
"setText(findTestObject(""Object Repository/tc39/Page_soca-dashboarduser/input_Email_form-control""), ""kp3skp.dev@gmail.com"")",Chrome 103.0.5060.134,,,2022-07-21 09:54:53,2022-07-21 09:54:54,0.687s,PASSED
"setEncryptedText(findTestObject(""Object Repository/tc39/Page_soca-dashboarduser/input_Password_form-control mb-2""), ""RigbBhfdqODKcAsiUrg+1Q=="")",Chrome 103.0.5060.134,,,2022-07-21 09:54:54,2022-07-21 09:54:54,0.399s,PASSED
"click(findTestObject(""Object Repository/tc39/Page_soca-dashboarduser/button_Sign In""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:54,2022-07-21 09:54:54,0.366s,PASSED
"click(findTestObject(""Object Repository/tc39/Page_soca-dashboarduser/button_OK""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:54,2022-07-21 09:54:55,0.791s,PASSED
"click(findTestObject(""Object Repository/tc39/Page_soca-dashboarduser/a_Projects""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:55,2022-07-21 09:54:57,2.137s,PASSED
"click(findTestObject(""Object Repository/tc39/Page_soca-dashboarduser/button_Dashboard""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:57,2022-07-21 09:54:58,0.934s,PASSED
"click(findTestObject(""Object Repository/tc39/Page_soca-ai-proctoring-dashboard/span_Schedule""))",Chrome 103.0.5060.134,,,2022-07-21 09:54:58,2022-07-21 09:55:00,1.847s,PASSED
"click(findTestObject(""Object Repository/tc39/Page_soca-ai-proctoring-dashboard/select_--Select Event Name--Ujiantesuas""))",Chrome 103.0.5060.134,,,2022-07-21 09:55:00,2022-07-21 09:55:01,1.100s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tc39/Page_soca-ai-proctoring-dashboard/select_Expired TimeDuration""), ""time"", true)",Chrome 103.0.5060.134,,,2022-07-21 09:55:01,2022-07-21 09:55:02,0.934s,PASSED
"setText(findTestObject(""Object Repository/tc39/Page_soca-ai-proctoring-dashboard/input_Schedule Name_description""), ""Sesi pagi"")",Chrome 103.0.5060.134,,,2022-07-21 09:55:02,2022-07-21 09:55:03,0.796s,PASSED
"click(findTestObject(""Object Repository/tc39/Page_soca-ai-proctoring-dashboard/label_No date selected""))",Chrome 103.0.5060.134,,,2022-07-21 09:55:03,2022-07-21 09:55:03,0.384s,PASSED
"click(findTestObject(""Object Repository/tc39/Page_soca-ai-proctoring-dashboard/span_21""))",Chrome 103.0.5060.134,,,2022-07-21 09:55:03,2022-07-21 09:55:35,31.355s,FAILED
,,,,,,,
Test Cases/TC_40,Chrome 103.0.5060.134,,,2022-07-21 09:55:35,2022-07-21 09:56:22,47.211s,FAILED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-07-21 09:55:35,2022-07-21 09:55:37,1.848s,PASSED
"navigateToUrl(""https://soca.ai/home"")",Chrome 103.0.5060.134,,,2022-07-21 09:55:37,2022-07-21 09:55:37,0.771s,PASSED
"click(findTestObject(""Object Repository/tc40/Page_soca.ai/a_Sign In""))",Chrome 103.0.5060.134,,,2022-07-21 09:55:37,2022-07-21 09:55:39,1.839s,PASSED
"setText(findTestObject(""Object Repository/tc40/Page_soca-dashboarduser/input_Email_form-control""), ""kp3skp.dev@gmail.com"")",Chrome 103.0.5060.134,,,2022-07-21 09:55:39,2022-07-21 09:55:40,0.694s,PASSED
"setEncryptedText(findTestObject(""Object Repository/tc40/Page_soca-dashboarduser/input_Password_form-control mb-2""), ""RigbBhfdqODKcAsiUrg+1Q=="")",Chrome 103.0.5060.134,,,2022-07-21 09:55:40,2022-07-21 09:55:40,0.390s,PASSED
"click(findTestObject(""Object Repository/tc40/Page_soca-dashboarduser/button_Sign In""))",Chrome 103.0.5060.134,,,2022-07-21 09:55:40,2022-07-21 09:55:41,0.369s,PASSED
"click(findTestObject(""Object Repository/tc40/Page_soca-dashboarduser/button_OK""))",Chrome 103.0.5060.134,,,2022-07-21 09:55:41,2022-07-21 09:55:42,0.917s,PASSED
"click(findTestObject(""Object Repository/tc40/Page_soca-dashboarduser/a_Projects""))",Chrome 103.0.5060.134,,,2022-07-21 09:55:42,2022-07-21 09:55:44,2.300s,PASSED
"click(findTestObject(""Object Repository/tc40/Page_soca-dashboarduser/button_Dashboard""))",Chrome 103.0.5060.134,,,2022-07-21 09:55:44,2022-07-21 09:55:45,0.927s,PASSED
"click(findTestObject(""Object Repository/tc40/Page_soca-ai-proctoring-dashboard/span_Schedule""))",Chrome 103.0.5060.134,,,2022-07-21 09:55:45,2022-07-21 09:55:47,2.197s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tc40/Page_soca-ai-proctoring-dashboard/select_--Select Event Name--Ujiantesuas""), ""62d75991aed847c7e3028120"", true)",Chrome 103.0.5060.134,,,2022-07-21 09:55:47,2022-07-21 09:55:49,1.764s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tc40/Page_soca-ai-proctoring-dashboard/select_Expired TimeDuration""), ""time"", true)",Chrome 103.0.5060.134,,,2022-07-21 09:55:49,2022-07-21 09:55:50,0.989s,PASSED
"click(findTestObject(""Object Repository/tc40/Page_soca-ai-proctoring-dashboard/input_Schedule Name_description""), STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-21 09:55:50,2022-07-21 09:55:50,0.345s,PASSED
"click(findTestObject(""Object Repository/tc40/Page_soca-ai-proctoring-dashboard/label_No date selected""))",Chrome 103.0.5060.134,,,2022-07-21 09:55:50,2022-07-21 09:55:51,0.393s,PASSED
"click(findTestObject(""Object Repository/tc40/Page_soca-ai-proctoring-dashboard/span_21""))",Chrome 103.0.5060.134,,,2022-07-21 09:55:51,2022-07-21 09:56:22,31.246s,FAILED
,,,,,,,
Test Cases/TC_41,Chrome 103.0.5060.134,,,2022-07-21 09:56:22,2022-07-21 09:57:10,48.068s,FAILED
