Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FR_06,Chrome 103.0.5060.114,,,2022-07-20 11:46:42,2022-07-20 11:52:31,5m - 48.525s,FAILED
,,,,,,,
Test Cases/TC_38,Chrome 103.0.5060.114,,,2022-07-20 11:46:43,2022-07-20 11:47:38,55.343s,FAILED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-20 11:46:43,2022-07-20 11:46:46,2.760s,PASSED
"navigateToUrl(""https://soca.ai/home"")",Chrome 103.0.5060.114,,,2022-07-20 11:46:46,2022-07-20 11:46:47,1.027s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca.ai/a_Sign In""))",Chrome 103.0.5060.114,,,2022-07-20 11:46:47,2022-07-20 11:46:49,2.356s,PASSED
"setText(findTestObject(""Object Repository/tc38/Page_soca-dashboarduser/input_Email_form-control""), ""kp3skp.dev@gmail.com"")",Chrome 103.0.5060.114,,,2022-07-20 11:46:49,2022-07-20 11:46:50,0.759s,PASSED
"setEncryptedText(findTestObject(""Object Repository/tc38/Page_soca-dashboarduser/input_Password_form-control mb-2""), ""RigbBhfdqODKcAsiUrg+1Q=="")",Chrome 103.0.5060.114,,,2022-07-20 11:46:50,2022-07-20 11:46:50,0.471s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-dashboarduser/button_Sign In""))",Chrome 103.0.5060.114,,,2022-07-20 11:46:50,2022-07-20 11:46:51,0.426s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-dashboarduser/button_OK""))",Chrome 103.0.5060.114,,,2022-07-20 11:46:51,2022-07-20 11:46:52,0.842s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-dashboarduser/a_Projects""))",Chrome 103.0.5060.114,,,2022-07-20 11:46:52,2022-07-20 11:46:54,2.197s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-dashboarduser/button_Dashboard""))",Chrome 103.0.5060.114,,,2022-07-20 11:46:54,2022-07-20 11:46:55,1.001s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-ai-proctoring-dashboard/span_Schedule""))",Chrome 103.0.5060.114,,,2022-07-20 11:46:55,2022-07-20 11:46:58,2.620s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tc38/Page_soca-ai-proctoring-dashboard/select_--Select Event Name--Ujiantesuas""), ""62d75991aed847c7e3028120"", true)",Chrome 103.0.5060.114,,,2022-07-20 11:46:58,2022-07-20 11:46:59,1.660s,PASSED
"selectOptionByValue(findTestObject(""tc38/Page_soca-ai-proctoring-dashboard/select_Expired TimeDuration""), ""time"", true)",Chrome 103.0.5060.114,,,2022-07-20 11:46:59,2022-07-20 11:47:00,0.968s,PASSED
"setText(findTestObject(""tc38/Page_soca-ai-proctoring-dashboard/input_Schedule Name_description""), ""Sesi pagi"")",Chrome 103.0.5060.114,,,2022-07-20 11:47:00,2022-07-20 11:47:01,0.731s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-ai-proctoring-dashboard/label_No date selected""))",Chrome 103.0.5060.114,,,2022-07-20 11:47:01,2022-07-20 11:47:01,0.377s,PASSED
"click(findTestObject(""Object Repository/tc38/Page_soca-ai-proctoring-dashboard/span_20""))",Chrome 103.0.5060.114,,,2022-07-20 11:47:01,2022-07-20 11:47:02,0.516s,PASSED
