Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FR_01,Chrome 103.0.5060.114,,,2022-07-15 10:53:17,2022-07-15 10:53:50,33.270s,PASSED
,,,,,,,
Test Cases/TC_01,Chrome 103.0.5060.114,,,2022-07-15 10:53:17,2022-07-15 10:53:27,10.479s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-15 10:53:17,2022-07-15 10:53:20,3.180s,PASSED
"navigateToUrl(""https://soca.ai/home"")",Chrome 103.0.5060.114,,,2022-07-15 10:53:20,2022-07-15 10:53:22,1.260s,PASSED
"click(findTestObject(""Object Repository/tc01/Page_soca.ai/a_Sign In""))",Chrome 103.0.5060.114,,,2022-07-15 10:53:22,2022-07-15 10:53:24,2.093s,PASSED
"setText(findTestObject(""Object Repository/tc01/Page_soca-dashboarduser/input_Email_form-control""), ""kp3skp.dev@gmail.com"")",Chrome 103.0.5060.114,,,2022-07-15 10:53:24,2022-07-15 10:53:24,0.742s,PASSED
"setEncryptedText(findTestObject(""Object Repository/tc01/Page_soca-dashboarduser/input_Password_form-control mb-2""), ""RigbBhfdqODKcAsiUrg+1Q=="")",Chrome 103.0.5060.114,,,2022-07-15 10:53:24,2022-07-15 10:53:25,0.438s,PASSED
"sendKeys(findTestObject(""Object Repository/tc01/Page_soca-dashboarduser/input_Password_form-control mb-2""), Keys.chord(ENTER))",Chrome 103.0.5060.114,,,2022-07-15 10:53:25,2022-07-15 10:53:25,0.368s,PASSED
"click(findTestObject(""Object Repository/tc01/Page_soca-dashboarduser/button_OK""))",Chrome 103.0.5060.114,,,2022-07-15 10:53:25,2022-07-15 10:53:26,0.816s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-15 10:53:26,2022-07-15 10:53:27,1.229s,PASSED
,,,,,,,
Test Cases/TC_02,Chrome 103.0.5060.114,,,2022-07-15 10:53:27,2022-07-15 10:53:35,7.582s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-15 10:53:27,2022-07-15 10:53:29,1.224s,PASSED
"navigateToUrl(""https://soca.ai/home"")",Chrome 103.0.5060.114,,,2022-07-15 10:53:29,2022-07-15 10:53:30,1.250s,PASSED
"click(findTestObject(""Object Repository/tc02/Page_soca.ai/a_Sign In""))",Chrome 103.0.5060.114,,,2022-07-15 10:53:30,2022-07-15 10:53:32,1.958s,PASSED
"setText(findTestObject(""Object Repository/tc02/Page_soca-dashboarduser/input_Email_form-control""), ""kp3skp.dev@gmail.com"")",Chrome 103.0.5060.114,,,2022-07-15 10:53:32,2022-07-15 10:53:33,0.690s,PASSED
"setEncryptedText(findTestObject(""Object Repository/tc02/Page_soca-dashboarduser/input_Password_form-control mb-2""), ""nbPRAawFRnE="")",Chrome 103.0.5060.114,,,2022-07-15 10:53:33,2022-07-15 10:53:33,0.415s,PASSED
"sendKeys(findTestObject(""Object Repository/tc02/Page_soca-dashboarduser/input_Password_form-control mb-2""), Keys.chord(ENTER))",Chrome 103.0.5060.114,,,2022-07-15 10:53:33,2022-07-15 10:53:33,0.376s,PASSED
