Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FR_03,Chrome 103.0.5060.114,,,2022-07-15 11:06:56,2022-07-15 11:10:01,3m - 4.988s,PASSED
,,,,,,,
Test Cases/TC_11,Chrome 103.0.5060.114,,,2022-07-15 11:06:56,2022-07-15 11:07:12,15.639s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-15 11:06:57,2022-07-15 11:07:00,3.652s,PASSED
"navigateToUrl(""https://soca.ai/home"")",Chrome 103.0.5060.114,,,2022-07-15 11:07:00,2022-07-15 11:07:02,1.591s,PASSED
"click(findTestObject(""Object Repository/tc11/Page_soca.ai/a_Sign In""))",Chrome 103.0.5060.114,,,2022-07-15 11:07:02,2022-07-15 11:07:05,3.056s,PASSED
"click(findTestObject(""Object Repository/tc11/Page_soca-dashboarduser/a_Sign Up""))",Chrome 103.0.5060.114,,,2022-07-15 11:07:05,2022-07-15 11:07:06,0.777s,PASSED
"setText(findTestObject(""Object Repository/tc11/Page_soca-dashboarduser/input_Fullname_form-control""), ""Arpriansah"")",Chrome 103.0.5060.114,,,2022-07-15 11:07:06,2022-07-15 11:07:06,0.834s,PASSED
"setText(findTestObject(""Object Repository/tc11/Page_soca-dashboarduser/input_Email_form-control""), ""arpriansah@gmail.com"")",Chrome 103.0.5060.114,,,2022-07-15 11:07:06,2022-07-15 11:07:07,0.693s,PASSED
"setEncryptedText(findTestObject(""Object Repository/tc11/Page_soca-dashboarduser/input_Password_form-control mb-2""), ""V4yhZFEx0HfNPf2ts0Yqfg=="")",Chrome 103.0.5060.114,,,2022-07-15 11:07:07,2022-07-15 11:07:08,0.436s,PASSED
"setText(findTestObject(""tc11/Page_soca-dashboarduser/input_Position_form-control""), ""test"")",Chrome 103.0.5060.114,,,2022-07-15 11:07:08,2022-07-15 11:07:08,0.703s,PASSED
