Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FR_04,Chrome 103.0.5060.114,,,2022-07-19 11:50:22,2022-07-19 11:56:25,6m - 3.775s,PASSED
,,,,,,,
Test Cases/TC_24,Chrome 103.0.5060.114,,,2022-07-19 11:50:22,2022-07-19 11:51:15,52.576s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-19 11:50:22,2022-07-19 11:50:25,2.338s,PASSED
"navigateToUrl(""https://soca.ai/home"")",Chrome 103.0.5060.114,,,2022-07-19 11:50:25,2022-07-19 11:50:28,3.634s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca.ai/a_Sign In""))",Chrome 103.0.5060.114,,,2022-07-19 11:50:28,2022-07-19 11:50:44,15.384s,PASSED
"setText(findTestObject(""Object Repository/tc24/Page_soca-dashboarduser/input_Email_form-control""), ""kp3skp.dev@gmail.com"")",Chrome 103.0.5060.114,,,2022-07-19 11:50:44,2022-07-19 11:50:44,0.711s,PASSED
"setEncryptedText(findTestObject(""Object Repository/tc24/Page_soca-dashboarduser/input_Password_form-control mb-2""), ""RigbBhfdqODKcAsiUrg+1Q=="")",Chrome 103.0.5060.114,,,2022-07-19 11:50:44,2022-07-19 11:50:45,0.428s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-dashboarduser/button_Sign In""))",Chrome 103.0.5060.114,,,2022-07-19 11:50:45,2022-07-19 11:50:45,0.381s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-dashboarduser/button_OK""))",Chrome 103.0.5060.114,,,2022-07-19 11:50:45,2022-07-19 11:50:46,0.935s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-dashboarduser/a_Projects""))",Chrome 103.0.5060.114,,,2022-07-19 11:50:46,2022-07-19 11:50:50,4.124s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-dashboarduser/button_Dashboard""))",Chrome 103.0.5060.114,,,2022-07-19 11:50:50,2022-07-19 11:50:51,1.281s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/span_Master Users""))",Chrome 103.0.5060.114,,,2022-07-19 11:50:51,2022-07-19 11:51:04,12.486s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/button_Add Users""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:04,2022-07-19 11:51:04,0.352s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/button_Upload Image""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:04,2022-07-19 11:51:05,0.585s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/button_Upload Image""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:05,2022-07-19 11:51:05,0.382s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/button_Upload Image""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:05,2022-07-19 11:51:06,0.405s,PASSED
"setText(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/input_Unique Code_txt-unique""), ""12345"")",Chrome 103.0.5060.114,,,2022-07-19 11:51:06,2022-07-19 11:51:06,0.673s,PASSED
"setText(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/input_Full Name_txt-full-name""), ""Arpriansah"")",Chrome 103.0.5060.114,,,2022-07-19 11:51:06,2022-07-19 11:51:07,0.722s,PASSED
"setText(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/input_Email_txt-email""), ""arpriansah@gmail.com"")",Chrome 103.0.5060.114,,,2022-07-19 11:51:07,2022-07-19 11:51:08,0.743s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/label_Male""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:08,2022-07-19 11:51:08,0.358s,PASSED
"setText(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/input_Exam Number_txt-exam-number""), ""12345"")",Chrome 103.0.5060.114,,,2022-07-19 11:51:08,2022-07-19 11:51:09,0.674s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/label_Wednesday, July 19, 2000""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:09,2022-07-19 11:51:09,0.378s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/div""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:09,2022-07-19 11:51:10,0.476s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/span_18""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:10,2022-07-19 11:51:10,0.504s,PASSED
"setText(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/textarea_Address_txt-address""), ""Grand Sharon Residence"")",Chrome 103.0.5060.114,,,2022-07-19 11:51:10,2022-07-19 11:51:11,0.797s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/button_Submit""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:11,2022-07-19 11:51:12,0.468s,PASSED
"click(findTestObject(""Object Repository/tc24/Page_soca-ai-proctoring-dashboard/button_OK""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:12,2022-07-19 11:51:14,2.330s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-19 11:51:14,2022-07-19 11:51:15,0.694s,PASSED
,,,,,,,
Test Cases/TC_25,Chrome 103.0.5060.114,,,2022-07-19 11:51:15,2022-07-19 11:52:14,59.506s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-19 11:51:15,2022-07-19 11:51:16,1.304s,PASSED
"navigateToUrl(""https://soca.ai/home"")",Chrome 103.0.5060.114,,,2022-07-19 11:51:16,2022-07-19 11:51:39,22.552s,PASSED
"click(findTestObject(""Object Repository/tc25/Page_soca.ai/a_Sign In""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:39,2022-07-19 11:51:52,13.159s,PASSED
"setText(findTestObject(""Object Repository/tc25/Page_soca-dashboarduser/input_Email_form-control""), ""kp3skp.dev@gmail.com"")",Chrome 103.0.5060.114,,,2022-07-19 11:51:52,2022-07-19 11:51:52,0.682s,PASSED
"setEncryptedText(findTestObject(""Object Repository/tc25/Page_soca-dashboarduser/input_Password_form-control mb-2""), ""RigbBhfdqODKcAsiUrg+1Q=="")",Chrome 103.0.5060.114,,,2022-07-19 11:51:52,2022-07-19 11:51:53,0.432s,PASSED
"click(findTestObject(""Object Repository/tc25/Page_soca-dashboarduser/button_Sign In""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:53,2022-07-19 11:51:53,0.399s,PASSED
"click(findTestObject(""Object Repository/tc25/Page_soca-dashboarduser/button_OK""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:53,2022-07-19 11:51:54,0.802s,PASSED
"click(findTestObject(""Object Repository/tc25/Page_soca-dashboarduser/a_Projects""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:54,2022-07-19 11:51:56,2.169s,PASSED
"click(findTestObject(""Object Repository/tc25/Page_soca-dashboarduser/button_Dashboard""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:56,2022-07-19 11:51:57,1.175s,PASSED
"click(findTestObject(""Object Repository/tc25/Page_soca-ai-proctoring-dashboard/span_Master Users""))",Chrome 103.0.5060.114,,,2022-07-19 11:51:57,2022-07-19 11:52:04,6.173s,PASSED
"click(findTestObject(""Object Repository/tc25/Page_soca-ai-proctoring-dashboard/button_Add Users""))",Chrome 103.0.5060.114,,,2022-07-19 11:52:04,2022-07-19 11:52:04,0.349s,PASSED
"click(findTestObject(""Object Repository/tc25/Page_soca-ai-proctoring-dashboard/button_Upload Image""))",Chrome 103.0.5060.114,,,2022-07-19 11:52:04,2022-07-19 11:52:05,0.583s,PASSED
"click(findTestObject(""Object Repository/tc25/Page_soca-ai-proctoring-dashboard/button_Upload Image""))",Chrome 103.0.5060.114,,,2022-07-19 11:52:05,2022-07-19 11:52:05,0.378s,PASSED
"setText(findTestObject(""Object Repository/tc25/Page_soca-ai-proctoring-dashboard/input_Unique Code_txt-unique""), ""12345"")",Chrome 103.0.5060.114,,,2022-07-19 11:52:05,2022-07-19 11:52:06,0.717s,PASSED
"setText(findTestObject(""Object Repository/tc25/Page_soca-ai-proctoring-dashboard/input_Full Name_txt-full-name""), ""Arpriansah"")",Chrome 103.0.5060.114,,,2022-07-19 11:52:06,2022-07-19 11:52:06,0.685s,PASSED
"setText(findTestObject(""Object Repository/tc25/Page_soca-ai-proctoring-dashboard/input_Email_txt-email""), ""arpriansah@gmail.com"")",Chrome 103.0.5060.114,,,2022-07-19 11:52:06,2022-07-19 11:52:07,0.747s,PASSED
"click(findTestObject(""Object Repository/tc25/Page_soca-ai-proctoring-dashboard/label_Male""))",Chrome 103.0.5060.114,,,2022-07-19 11:52:07,2022-07-19 11:52:07,0.372s,PASSED
"setText(findTestObject(""Object Repository/tc25/Page_soca-ai-proctoring-dashboard/input_Exam Number_txt-exam-number""), ""12345"")",Chrome 103.0.5060.114,,,2022-07-19 11:52:07,2022-07-19 11:52:08,0.689s,PASSED
